pp;couple;partner;condition;leuk;vriendelijk;aardig;aangenaam;fijn;vertrouwen;sympathie;graag;band;gemoed;responsief;invloed;opmerken;bewust;niet_alleen;chameleon;positive_perception;bond;copresence
23;12;2;3;4.639;4.53;5.012;5.175;5.669;4.283;4.669;3.645;3.337;3.928;3.157;2.012;3.596;2.916;4.614;0;25.025000000000002;16.525;16.295
24;12;1;3;6.087;5.048;5.141;6.037;6.07;4.524;3.307;5.555;3.392;6.045;2.944;2.885;4.008;4.008;4.034;1;28.383;19.430999999999997;17.878999999999998
25;13;2;3;5.193;4.0;4.054;4.831;5.747;4.916;5.012;5.042;5.066;1.97;2.108;1.982;2.199;4.97;5.054;0;23.825;16.939999999999998;16.313000000000002
26;13;1;3;5.006;5.792;6.806;5.377;5.69;4.363;5.192;5.952;5.293;3.02;3.375;5.834;3.746;4.194;6.425;0;28.671;18.527;23.574
27;14;1;3;5.994;6.037;6.214;6.037;5.876;2.8;5.496;5.893;5.411;6.054;6.104;5.2;7.0;7.0;7.0;1;30.157999999999998;20.243;32.304
28;14;2;3;6.648;5.32;5.295;5.811;6.344;6.139;4.836;5.984;5.189;4.861;3.639;5.787;5.885;6.893;6.762;0;29.418;21.82;28.966
29;15;1;3;6.358;6.172;5.969;5.656;5.758;6.045;5.454;6.569;4.465;5.758;4.321;4.296;6.425;6.459;6.442;1;29.912999999999997;23.826;27.943
30;15;2;3;5.074;5.992;4.992;6.008;4.959;6.033;5.705;6.459;5.918;5.607;4.598;5.984;4.943;6.074;5.148;0;27.025;23.804;26.747
31;16;2;3;5.615;5.557;5.59;5.393;4.852;5.352;6.09;6.377;6.123;6.877;6.869;6.672;5.852;6.123;5.967;0;27.007;24.695999999999998;31.483
32;16;1;3;5.538;5.504;4.904;4.913;4.854;5.58;5.817;4.735;4.617;4.034;4.6;4.507;5.09;5.572;2.47;0;25.713;20.166;22.238999999999997
33;17;1;3;4.583;4.955;4.862;5.454;5.437;5.851;5.479;5.039;4.617;3.417;3.045;1.423;4.668;5.521;6.07;1;25.291;19.786;20.727
34;17;2;3;6.041;6.049;5.148;4.0;5.885;3.049;4.107;4.033;4.426;5.008;5.672;5.107;5.098;5.131;5.664;0;27.122999999999998;16.197000000000003;26.671999999999997
35;18;1;3;5.749;6.223;6.054;6.104;5.834;6.037;5.479;5.251;5.242;5.335;5.369;5.31;4.972;5.741;5.901;1;29.964;22.102;27.293
36;18;2;3;6.62;6.578;6.687;6.922;6.946;6.657;5.476;6.711;4.199;4.982;5.078;1.976;6.886;6.759;6.789;0;33.753;23.826;27.488
